Species,SLA_cm2/g,LDMC_mg/g,Chlorophyll_FCI,LeafTough_N/mm,LeafThick_mm,SSD_g/cm3,PithProp_%,XylProp_%,BarkProp_%,VesselDens_n/mm2,VesselDiam_microm,StomDens_n/mm2,StomLength_microm,Hpot95_m,DS_anemo-0_zoo-1,SeedMass_g,Kpot_kg/m/s/Mpa
Campomanesia guaviroba,10.341,429.259,58.57,0.24,0.215,0.622,22.25,63.67,14.08,58.56,18.82,445.14,9.32,23.75,1,0.11115,0.018
Campomanesia reitziana,12.26,439.167,50.64,0.24,0.141,0.587,17.63,66.94,15.43,113.44,17.53,349.11,9.16,17.1,1,,0.026
Casearia obliqua,19.341,445.217,61.66,0.16,0.084,0.649,8.24,80.23,11.53,134.0,13.88,333.51,10.65,24.7,1,,0.012
Casearia sylvestris,13.394,391.865,69.12,0.24,0.152,0.458,38.57,53.48,7.95,124.95,16.41,543.16,9.22,21.85,1,0.00132703,0.022
Cecropia glaziovii,20.986,277.454,56.71,0.13,0.26,0.13,83.48,13.82,2.7,41.45,28.93,,,23.75,1,0.0005,0.071
Chionanthus filiformis,11.927,392.142,66.88,0.35,0.197,0.649,16.2,73.47,10.33,118.86,17.26,253.35,13.49,21.85,1,,0.026
Chrysophyllum inornatum,13.761,334.691,61.2,0.46,0.207,0.634,14.39,75.64,9.97,66.34,16.05,194.29,10.9,16.46,1,,0.011
Clethra scabra,9.317,399.79,48.34,0.32,0.293,0.314,45.44,41.86,12.7,464.09,9.55,,,20.9,0,0.00017963,0.009
Clusia criuva,6.75,287.773,65.82,0.75,0.572,0.501,38.56,45.7,15.74,57.72,19.92,178.5,13.24,20.9,1,0.00218824,0.022
Copaifera trapezifolia,18.478,460.476,60.12,0.2,0.091,0.581,15.72,72.65,11.64,91.97,22.14,110.54,15.84,28.5,1,0.80826667,0.054
Coussapoa microcarpa,26.151,272.579,59.9,0.52,0.313,0.466,34.14,54.74,11.12,26.95,32.79,888.76,5.79,24.68,1,,0.076
Coussarea contracta,16.151,247.528,,0.34,0.218,0.475,32.57,53.81,13.61,74.32,11.62,195.59,16.96,19.95,1,,0.003
Croton macrobothrys,18.695,352.88,58.03,0.1,0.122,0.343,35.31,58.46,6.23,26.21,27.35,240.75,15.98,22.8,0,,0.036
Cryptocarya aschersoniana,11.222,411.63,59.16,0.38,0.173,0.397,26.16,65.62,8.22,82.54,17.94,264.08,15.11,24.77,1,0.579025,0.021
Cryptocarya mandioccana,12.902,388.461,61.08,0.34,0.188,0.467,29.17,60.34,10.49,52.38,22.43,346.14,5.41,23.75,1,1.1488,0.032
Cupania vernalis,16.073,399.961,57.49,0.27,0.16,0.531,33.97,50.59,15.44,68.65,17.33,374.04,11.56,23.75,1,0.15245,0.015
Cyathea corcovadensis,17.805,285.403,62.17,0.27,0.168,0.18,51.86,21.13,27.0,280.26,16.74,55.14,36.65,23.75,0,1.3e-07,0.054
Cyathea delgadii,23.814,344.34,47.14,0.09,0.064,0.173,60.31,14.98,24.71,112.95,29.36,197.43,25.67,13.3,0,1.3e-07,0.205
Cyathea gardneri,17.936,269.193,70.23,0.15,0.104,0.162,63.37,14.95,21.68,183.05,23.89,264.37,18.89,12.35,0,1.3e-07,0.146
Cyathea phalerata,21.418,285.105,,0.07,0.1,0.204,66.51,12.2,21.29,145.93,26.62,210.62,17.27,28.5,0,1.3e-07,0.179
Daphnopsis fasciculata,8.212,325.155,64.83,0.92,0.348,0.411,30.53,47.38,22.09,101.14,15.52,386.26,16.14,13.3,1,0.04807692,0.014
Diatenopteryx sorbifolia,16.802,378.754,,0.12,0.08,0.541,12.86,76.89,10.25,66.06,16.41,604.63,7.63,26.6,0,0.07222824,0.012
Dicksonia sellowiana,16.289,419.481,,0.13,0.071,0.221,56.34,15.57,28.08,358.36,20.65,244.27,14.85,25.18,0,3.7e-07,0.159
Duguetia lanceolata,12.9,425.342,65.42,0.31,0.153,0.749,11.82,62.0,26.19,63.99,17.29,153.72,11.34,23.75,1,0.16021667,0.014
Endlicheria paniculata,13.836,381.489,63.96,0.26,0.201,0.431,42.59,49.21,8.2,72.8,19.48,273.32,10.35,21.85,1,0.66905,0.026
Esenbeckia grandiflora,13.561,315.376,66.33,0.33,0.241,0.626,23.46,66.3,10.24,97.06,14.78,90.11,33.26,13.78,0,,0.011
Eugenia beaurepairiana,10.749,500.0,,0.28,0.132,0.714,17.94,68.96,13.1,82.7,13.1,,,26.6,1,,0.006
Eugenia involucrata,8.055,460.136,68.15,0.27,0.207,0.569,13.21,68.02,18.77,73.34,16.15,715.42,5.86,17.1,1,0.28421667,0.012
Euterpe edulis,15.991,421.571,66.18,0.47,0.217,0.195,52.34,17.93,29.73,69.21,31.57,359.05,5.99,19.0,1,0.181775,0.168
Ficus adhatodifolia,12.143,286.312,57.74,0.47,0.265,0.286,65.54,27.07,7.4,31.19,29.94,280.88,15.21,35.23,1,0.00121935,0.061
